timestamp,capital_personal,capital_corporate
2026-06-04 06:00,42200380.0,59820875.0
2026-06-04 06:00,42017295.0,59604599.0
2026-06-04 20:00,41840823.0,59395983.0
2026-06-05 01:00,41764032.0,59305142.0
2026-06-05 22:00,40175329.0,57425169.0
2026-06-05 22:00,40273167.0,57541709.0
2026-06-06 01:00,40467900.0,57773568.0
2026-06-06 01:00,40475184.0,57782234.0
2026-06-10 01:00,38862367.0,55863524.0
2026-06-10 02:00,38862367.0,55863524.0
